Cross_Validation	Asegurado_id	Ind_Ramo_Canal_Vigente	Meses_Antiguedad_Ramo_Canal	Canal_Agrup_Id	Ind_Exequial	Ind_Accidentes_Personales	Ind_Automoviles	Ind_Hogar	Ind_SuRenta	Ind_MasVida	Ind_Soat	Ind_Renta_Educativa	Ind_Otros_Personales	Ind_Salud	Ind_Otros_Empresariales	Ind_Arrendamiento	Ind_Renta_Pensional	Ind_Desempleo	Ind_Vida	Produccion_Emitida_Grupo_Cliente	Porc_RT_Grupo_Cliente	Frecuencia_Anual_Siniestros_Grupo_Cliente	Monto_Pagado_Siniestros_Grupo_Cliente	Recencia_Meses_Ultimo_Siniestros_Grupo_Cliente	Cont_Compania_Cliente	Regional_Contacto_id	Sexo_id	Edad	Numero_Hijos	Ind_Dependientes_Menores18	Ind_Dependientes_Mayores18	Nivel_Ingreso_id	Nivel_Estudios_id	Estado_Civil_id	Ind_Independiente	Cont_Quejas	Cont_Peticion	Cont_Inquietud	Ind_Tipo_Negocio_Colectivo	Ind_Forma_Pago_Mensual	Ind_Forma_Pago_Anual	Ind_Tipo_Pago_Caja_Sura	Ind_Tipo_Pago_Financiacion_Sura
0	1	1	38	24,390,652	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	585,766.21	42.31	0.03	100,171.47	0.25	2	3	1	48	0	0	0	10	-1	-1	0	0	1	0	1	1	0	1	0
0	2	1	56	24,390,648	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1,098,227.00	25.08	0	0	0	2	4	2	37	0	0	0	8	-1	1	0	0	0	0	1	1	0	1	0
0	3	1	5	24,390,648	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3,227,698.00	7.49	0	0	0	1	5	2	65	-1	-1	-1	99	-1	-1	0	0	0	0	0	0	1	0	0
0	4	0	14	24,390,649	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	460,500.00	25.01	0	0	0	1	99	1	-1	-1	0	0	99	-1	-1	0	0	0	0	1	1	0	1	0
0	5	0	51	24,390,652	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	574,249.33	-40.4	0	0	0	2	2	2	26	0	0	0	10	-1	1	0	0	0	0	1	0	1	0	0
0	6	1	44	24,390,649	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1,201,357.88	7.13	0.18	676,283.87	1.71	3	2	2	35	0	0	0	8	-1	1	0	0	0	0	1	0	1	1	0
0	7	0	4	24,390,651	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	810,397.90	50.5	0	0	0	1	99	1	38	-1	0	0	99	-1	-1	0	0	0	0	1	1	0	1	0
1	8	1	27	24,390,648	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	760,653.51	5.79	0.06	217,295.69	0.71	3	2	1	31	1	1	1	10	3	1	0	0	0	1	1	1	0	0	0
1	9	0	0	24,390,650	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	501,174.89	3.63	0	0	0	2	3	1	32	-1	0	0	10	-1	-1	0	0	0	0	1	1	0	1	0
0	10	1	2	24,390,652	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	302,675.00	-19.24	0	0	0	1	3	1	36	0	0	0	10	-1	-1	0	0	0	0	1	1	0	1	0
